quarter_date,freight_cost,fuel_index,wage_index,cpi_index
1997-09-01,64.30,37.69,66.60,46.28
1997-12-01,65.00,38.13,67.20,46.39
1998-03-01,64.70,36.47,67.80,46.51
1998-06-01,65.20,36.79,68.30,46.78
1998-09-01,65.20,35.99,68.80,46.91
1998-12-01,65.40,35.44,69.30,47.11
1999-03-01,65.90,34.50,69.90,47.08
1999-06-01,65.80,36.32,70.40,47.29
1999-09-01,65.90,39.52,70.90,47.72
1999-12-01,66.00,39.78,71.40,47.97
2000-03-01,66.10,42.87,71.80,48.40
2000-06-01,66.70,44.25,72.50,48.77
2000-09-01,66.60,48.86,73.10,50.59
2000-12-01,67.30,49.51,73.80,50.76
2001-03-01,68.00,47.71,74.50,51.30
2001-06-01,68.30,49.22,75.20,51.73
2001-09-01,68.50,45.14,75.70,51.87
2001-12-01,68.70,43.50,76.30,52.35
2002-03-01,69.00,43.47,76.90,52.82
2002-06-01,69.00,46.73,77.50,53.20
2002-09-01,69.10,46.17,78.20,53.56
2002-12-01,69.90,47.01,78.90,53.92
2003-03-01,70.90,51.04,79.70,54.62
2003-06-01,71.60,46.15,80.30,54.62
2003-09-01,71.60,47.53,81.00,54.93
2003-12-01,72.00,47.10,81.80,55.22
2004-03-01,72.60,48.69,82.50,55.71
2004-06-01,72.80,51.53,83.20,55.97
2004-09-01,73.90,53.25,83.90,56.20
2004-12-01,75.80,54.59,84.80,56.63
2005-03-01,76.30,53.11,85.70,57.01
2005-06-01,77.70,56.91,86.60,57.35
2005-09-01,78.70,63.51,87.40,57.92
2005-12-01,79.80,62.91,88.30,58.22
2006-03-01,81.40,63.81,89.20,58.72
2006-06-01,82.50,70.97,90.10,59.65
2006-09-01,83.80,70.14,90.80,60.18
2006-12-01,82.60,61.47,91.80,60.11
2007-03-01,82.80,62.33,92.70,60.16
2007-06-01,83.60,68.00,93.80,60.90
2007-09-01,84.50,65.47,94.70,61.32
2007-12-01,85.20,70.25,95.60,61.89
2008-03-01,87.10,74.08,96.50,62.72
2008-06-01,88.90,80.48,97.70,63.63
2008-09-01,93.20,82.08,98.70,64.37
2008-12-01,94.40,67.17,99.70,64.16
2009-03-01,91.80,61.71,100.60,64.23
2009-06-01,90.60,63.95,101.40,64.55
2009-09-01,91.30,66.48,101.80,65.16
2009-12-01,91.80,64.64,102.60,65.51
2010-03-01,91.90,67.37,103.60,66.12
2010-06-01,93.00,68.81,104.40,66.52
2010-09-01,94.30,66.27,105.50,67.00
2010-12-01,94.60,67.69,106.60,67.26
2011-03-01,95.90,73.60,107.60,68.30
2011-06-01,98.60,76.56,108.40,68.93
2011-09-01,98.60,75.50,109.40,69.34
2011-12-01,99.80,76.06,110.40,69.34
2012-03-01,100.80,77.95,111.50,69.38
2012-06-01,100.90,78.47,112.50,69.74
2012-09-01,103.40,75.39,113.40,70.69
2012-12-01,104.80,77.33,114.20,70.87
2013-03-01,103.70,78.24,115.00,71.11
2013-06-01,105.00,75.81,115.70,71.38
2013-09-01,104.60,81.59,116.40,72.25
2013-12-01,105.50,80.71,117.20,72.77
2014-03-01,107.50,83.98,118.10,73.20
2014-06-01,107.50,81.72,118.70,73.57
2014-09-01,108.00,79.58,119.40,73.88
2014-12-01,107.90,74.24,120.10,74.02
2015-03-01,106.50,65.16,120.80,74.16
2015-06-01,106.40,73.10,121.40,74.69
2015-09-01,105.10,71.80,122.10,74.98
2015-12-01,105.40,67.74,122.70,75.27
2016-03-01,105.40,60.99,123.30,75.12
2016-06-01,105.90,64.63,123.90,75.45
2016-09-01,106.00,62.75,124.40,75.98
2016-12-01,106.50,67.02,125.00,76.38
2017-03-01,106.70,70.86,125.70,76.73
2017-06-01,106.90,69.04,126.30,76.88
2017-09-01,107.50,67.43,126.90,77.35
2017-12-01,107.90,74.42,127.60,77.87
2018-03-01,109.20,75.12,128.20,78.21
2018-06-01,109.80,80.30,129.00,78.49
2018-09-01,111.00,81.48,129.80,78.83
2018-12-01,111.70,79.43,130.50,79.24
2019-03-01,111.50,72.51,131.20,79.23
2019-06-01,112.20,79.91,132.00,79.70
2019-09-01,112.80,78.28,132.70,80.15
2019-12-01,113.70,81.75,133.40,80.70
2020-03-01,113.90,76.86,134.10,81.00
2020-06-01,113.10,61.95,134.40,79.44
2020-09-01,111.50,67.79,134.50,80.67
2020-12-01,112.30,68.13,135.20,81.40
2021-03-01,112.70,74.09,136.10,81.87
2021-06-01,114.00,78.92,136.80,82.47
2021-09-01,115.00,84.53,137.50,83.17
2021-12-01,116.70,90.19,138.40,84.23
2022-03-01,118.60,100.06,139.30,86.05
2022-06-01,123.50,104.25,140.50,87.59
2022-09-01,130.80,99.79,141.80,89.20
2022-12-01,131.70,102.04,143.00,90.85
2023-03-01,131.10,101.15,144.40,92.08
2023-06-01,128.80,100.49,145.60,92.87
2023-09-01,127.80,107.71,147.60,93.94
2023-12-01,134.80,107.47,149.10,94.53
2024-03-01,135.00,106.38,150.20,95.41
2024-06-01,134.90,108.29,151.50,96.41
2024-09-01,134.90,101.00,152.80,96.62
2024-12-01,132.90,99.04,153.90,96.81
2025-03-01,134.00,100.95,155.30,97.70
2025-06-01,134.90,97.46,156.70,98.43
2025-09-01,135.70,99.41,157.90,99.73
2025-12-01,137.40,100.55,159.20,100.32
2026-03-01,137.30,105.79,160.40,101.70
